MDS_Dim1,MDS_Dim2,Output
-0.08787748789978898,0.4961807149322966,37.3
0.5614973286171283,-0.24899496702252227,11.9
-0.5038496548054754,-0.45853375968249943,25.3
0.4876807489492878,-0.2225031971338309,13.1
-0.21939474506110201,-0.5364546681340148,23.6
-0.49802538807493785,-0.44572761508108605,27.0
-0.08738618026484252,-0.27006188591659613,13.9
-0.08124232133321298,-0.39215844279859013,25.6
0.5427346665830936,-0.28799618593605625,11.0
-0.4838790010477022,-0.03172585602310375,13.9
-0.2113843271942796,0.1150699697237938,32.7
0.5614973286171285,-0.24899496702252139,11.9
0.5614973286171282,-0.24899496702252275,11.9
-0.4758360200024804,-0.3086551372252332,24.1
-0.4980253895298479,-0.44572761368399877,27.0
-0.4980253895662537,-0.44572761364904007,27.0
0.5614973286171285,-0.24899496702252233,11.9
-0.33321352503520973,-0.12222929758925186,21.7
-0.4758360200024983,-0.3086551372252076,24.2
-0.005623446337649458,-0.013250249839828511,24.2
-0.7690840019512054,-0.1776849334564127,6.77
0.20690046061802406,-0.6952291778252034,-32.3
-0.20092225378162118,0.2912838030626738,-15.0
-0.13859753829834115,-0.25401081429084305,-25.3
0.39365052465209466,-0.34031096324318755,-4.69
0.580062089537585,-0.211622159810219,-7.16
0.12211084605889742,-0.6171611626732693,-8.75
-0.3458425248799227,-0.09233789595974594,-6.78
0.7262940783874872,-0.3032717111628237,-1.17
-0.06558703197916206,0.5129542071175182,0.505
0.530425263965542,-0.22014716702499088,-12.4
-0.5653978830924585,-0.20220820441697943,21.2
0.16966713787959548,0.45693962792602577,20.4
-0.1759407067227217,-0.18349223662212422,14.3
0.5117803305913607,-0.26218924549326467,11.1
-0.019090346867035427,-0.20370415968314287,23.4
0.5629326962409588,0.12453409439987348,22.1
-0.39024016900921366,0.10027837869249927,18.3
0.16321022767180396,-0.5532649913934053,18.8
